# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-t" "exon" "-g" "gene_id" "-a" "/mnt/d/RNAseq/reference/BDGP5.25.62/Drosophila_melanogaster.BDGP5.25.62.gtf" "-o" "/mnt/d/RNAseq/counts/all_samples_gene_counts.txt" "/mnt/d/RNAseq/alignment/SRR031708.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031712.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031713.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031720.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031721.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031722.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/RNAseq/alignment/SRR031708.sorted.bam	/mnt/d/RNAseq/alignment/SRR031712.sorted.bam	/mnt/d/RNAseq/alignment/SRR031713.sorted.bam	/mnt/d/RNAseq/alignment/SRR031720.sorted.bam	/mnt/d/RNAseq/alignment/SRR031721.sorted.bam	/mnt/d/RNAseq/alignment/SRR031722.sorted.bam
FBgn0037222	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	66767;66855;66975;67477;67700;67700;67880;67897;68060;68060	66854;67420;67641;67641;67809;67809;67995;67995;68508;68508	-;-;-;-;-;-;-;-;-;-	1550	101	143	101	58	104	73
FBgn0085334	3R;3R	68507;68844	68781;68868	-;-	300	26	26	34	12	15	12
FBgn0037223	3R;3R;3R	69328;70123;70362	69344;70307;71233	+;+;+	1074	10	12	15	1	5	1
FBgn0037224	3R;3R	72744;72866	72806;74040	+;+	1238	1	1	1	0	0	0
FBgn0037225	3R;3R;3R;3R	74439;74913;75629;76457	74739;75567;76236;76518	-;-;-;-	1626	27	15	20	12	32	33
FBgn0250821	3R;3R;3R	77614;78020;78598	77964;78536;78765	-;-;-	1036	20	9	23	16	17	20
FBgn0037227	3R;3R	80502;80576	80516;81316	+;+	756	0	0	0	0	2	1
FBgn0041621	3R;3R;3R;3R;3R;3R	82694;83054;83327;83739;83902;84116	82997;83252;83672;83843;84054;84166	+;+;+;+;+;+	1158	3	3	2	4	2	4
FBgn0037228	3R;3R;3R	92676;92694;92983	92927;94005;94166	+;+;+	1491	3409	3806	3502	4145	5384	4744
FBgn0037229	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	94943;94943;94943;95570;95570;95570;95831;95831;95831;96567;103168;103351	95510;95510;95510;95774;95774;95774;96076;96076;96076;96622;103515;103515	-;-;-;-;-;-;-;-;-;-;-;-	1423	11	23	12	12	16	15
FBgn0041605	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	105906;106039;106107;106111;106273;106273;107426;107426;107552;107552;107552;107625;107886;107886;108172;108259;108259;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;108396;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;109948;110074;111731;113794;113794;113794;114758;117460;117670;120617;120842;120842;120842;120842;120842;120842;120842;120842;120842;120842;120842;120842;120842;120851;120851;120851;120851;120851;120851;120851;120851;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;121290;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;123210;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;125512;128248	106078;106090;106152;106191;106544;106544;107593;107593;107652;107725;107637;107725;108036;108036;108204;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;108556;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;110128;111930;113805;113805;113805;114896;117991;117794;120666;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121008;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;121422;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;124307;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;127263;128309	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5650	15	13	7	20	27	16
FBgn0037230	3R;3R	117996;119475	119089;120558	-;-	2178	5	7	4	2	4	3
FBgn0027930	3R;3R;3R;3R;3R;3R;3R;3R	133630;133630;133986;133986;134342;134342;134617;134617	133778;133778;134149;134176;134555;134555;135559;135559	+;+;+;+;+;+;+;+	1497	315	368	316	302	414	399
FBgn0037231	3R;3R;3R	135364;136136;136509	136080;136376;136667	-;-;-	1117	165	179	162	128	154	140
FBgn0037232	3R;3R;3R;3R;3R;3R	137258;137752;138319;138683;138880;139564	137696;138255;138628;138817;139509;140094	+;+;+;+;+;+	2549	47	74	73	58	114	85
FBgn0261086	3R;3R;3R;3R;3R	141310;143376;143678;144070;144304	142828;143611;144010;144231;144791	-;-;-;-;-	2738	2	4	2	2	2	3
FBgn0037234	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	145412;145412;145412;145412;147567;147567;147567;147567;148070;148953;148953;148953;148953;149409;149409;149409;149409;149675;149675;149675;149675;150059;150059;150059;150059;150310;150310;150310;150310;150452;150452;150452;150452;150595;150595;150595;150595;151419;151419;151419;151419	145612;145578;145578;145612;147769;147769;147769;147769;148217;149344;149344;149344;149344;149611;149611;149611;149611;149886;149886;149886;149886;150232;150232;150232;150232;150394;150394;150394;150394;150533;150533;150533;150533;151183;151183;151211;151183;151817;151817;152096;151817	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2995	177	214	202	187	248	225
FBgn0027866	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	153527;153773;153859;155822;155822;156724;157269;158012;158714;158944	153739;155756;155756;155970;155970;156768;157946;158199;158881;159727	-;-;-;-;-;-;-;-;-;-	4209	628	662	603	507	668	651
FBgn0040687	3R	160839	161237	+	399	12	17	10	14	14	22
FBgn0037236	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	161143;161143;161143;161164;161508;161508;161508;161731;161731;161731;161731;162191;162191;162191;163270;163270;165089	161451;161667;161451;161451;161667;161667;161667;162130;162130;162130;163064;163374;163064;163064;163408;163408;165287	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2402	261	299	277	312	342	304
FBgn0037235	3R;3R;3R;3R;3R	163482;163704;163723;164766;164766	163645;164025;164025;165640;165640	+;+;+;+;+	1361	173	208	144	160	249	220
FBgn0261434	3R;3R	170728;171571	171505;172372	-;-	1580	0	0	1	0	0	0
FBgn0037238	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	185510;185510;189000;189000;189284;189284;189939;190288;190288;191424;191424	186009;186009;189230;189230;190228;189518;190228;191263;191263;192577;192577	+;+;+;+;+;+;+;+;+;+;+	3806	4	10	6	3	6	3
FBgn0037239	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	204386;204396;204644;205029;205172;205172;205172;205397;205397;205397;205397;205650;205650;205650;205650;205831;205831;205831;205831;206226;206226;206226;206226;206425;206425;206425;206425	204451;204731;204731;205340;205340;205340;205340;205546;205546;205546;205546;205767;205767;205767;205767;205992;205992;205992;205992;206353;206353;206353;206353;206918;206932;206932;206932	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1724	253	328	256	126	156	131
FBgn0037240	3R;3R;3R;3R;3R;3R;3R;3R	207032;207601;208592;210613;210843;211772;212002;212191	207251;208539;210277;210779;211715;211940;212135;212741	+;+;+;+;+;+;+;+	4739	453	574	485	606	807	726
FBgn0003882	3R;3R;3R;3R;3R	212967;213203;213459;214181;214181	213038;214114;214114;215535;215535	+;+;+;+;+	2339	265	302	253	238	312	276
FBgn0037241	3R;3R;3R;3R	216097;216097;216833;216833	216780;216780;217721;217833	+;+;+;+	1685	156	201	169	184	251	196
FBgn0086608	3R;3R	219467;219550	219490;219768	-;-	243	3	5	4	6	6	10
FBgn0037242	3R;3R;3R;3R	221886;222582;222834;223430	222524;222778;223362;223609	-;-;-;-	1545	147	144	143	172	193	189
FBgn0086605	3R;3R;3R;3R;3R;3R;3R	224280;224280;225168;225168;225464;225464;227444	225107;225107;225402;225402;225912;225734;227749	-;-;-;-;-;-;-	1818	181	223	168	152	206	176
FBgn0037244	3R;3R;3R	226212;227076;227323	226860;227207;227739	+;+;+	1198	86	92	66	72	99	85
FBgn0037245	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	228771;229126;230191;230191;230423;230423;231202;231202;231323;231323;231589;231589	229002;229175;230361;230361;231141;231141;231270;231270;231533;231533;232914;232914	+;+;+;+;+;+;+;+;+;+;+;+	2778	2943	3570	3075	3335	4215	3795
FBgn0052944	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	233159;233159;233781;233781;238603;238603;238963;238963;239158;239158;240255;240255;240482;240482;240673;241405	233725;233725;233962;233962;238728;238728;239089;239089;239228;239228;240420;240420;240537;240537;241108;241835	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2162	11	8	2	3	12	7
FBgn0051528	3R	242153	243389	+	1237	1	0	0	0	1	1
FBgn0037248	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	248205;248610;249450;249450;249655;249655;251553;251553;252445;252445;252604;252604;254697;254697	249386;249386;249595;249595;251486;251486;252347;252374;252550;252550;252722;252722;255051;255051	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4562	580	682	616	494	633	558
FBgn0051525	3R	252752	253927	+	1176	5	10	10	11	14	19
FBgn0037249	3R;3R;3R;3R	255639;255950;258239;259421	255890;258188;259323;259652	-;-;-;-	3808	2277	2486	2153	2072	2641	2412
FBgn0037250	3R;3R;3R	259715;260377;261229	259908;261172;261897	+;+;+	1659	79	78	71	71	67	74
FBgn0037251	3R	261944	263051	-	1108	43	52	39	35	77	75
FBgn0037252	3R;3R;3R;3R;3R;3R	263102;265539;265749;265943;266115;266469	265481;265692;265873;266045;266407;267050	+;+;+;+;+;+	3637	467	512	481	388	507	477
FBgn0051522	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	267137;267137;267137;269624;269624;269624;269834;269834;269834;270044;270044;270044;270228;270228;270228;271054;271054;271888;272147;272147;272147;272462;272462;272462;272959;273423;273423;273423;276194;276432;278914;278914	268777;268777;268777;269779;269779;269779;269970;269970;269970;270149;270149;270149;270284;270284;270284;271137;271137;271968;272254;272254;272254;272544;272544;272544;273676;273676;273676;273676;276540;276555;279036;279036	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3656	196	244	214	209	262	258
FBgn0051523	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	291139;291139;291139;291139;293016;293016;293016;293016;293354;293354;293354;293354;293566;293566;293566;293566;293788;293788;293788;293788;293936;293936;293936;293936;294186;294186;294186;294186;296836;304355;304675	292565;292565;292565;292565;293294;293294;293294;293294;293490;293490;293490;293490;293728;293728;293728;293728;293868;293868;293868;293868;294126;294126;294126;294126;294321;294321;294321;294355;297321;304828;304729	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3408	1607	2053	1737	1080	1387	1248
FBgn0037254	3R	306534	309943	+	3410	0	2	3	3	1	1
FBgn0037255	3R;3R;3R;3R	310763;312318;312543;312670	312253;312410;312613;313185	+;+;+;+	2171	319	350	325	261	362	298
FBgn0085386	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	319126;320657;320896;321412;321678;322198;323280;328161;329337;340352;348710;348710;359871;359871;363527;363527;382418;382418;383664;383664	320269;320834;321160;321604;321854;323189;323370;328953;329447;340841;348809;348809;360247;360247;364411;364411;382728;382728;383789;383789	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6233	31	25	27	38	44	39
FBgn0085454	3R	330333	331985	-	1653	0	0	0	1	0	0
FBgn0051526	3R;3R;3R;3R;3R	358950;358950;359215;359215;359590	359153;359153;359666;359534;359693	+;+;+;+;+	683	1	5	4	3	6	3
FBgn0037260	3R	367258	368937	+	1680	4	2	5	3	5	5
FBgn0052945	3R	403661	404366	-	706	0	0	0	0	0	0
FBgn0087012	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	438597;438597;438597;438597;448224;448231;448231;448231;448231;452695;452695;452695;452695;452695;452981;452981;452981;452981;452981;453628;453628;453628;453628;453628;455851;455851;455851;455890;457530;457530;457530;457530;458460	439072;439072;439072;439072;449346;449346;449346;449346;449346;452919;452919;452919;452919;452919;453179;453179;453179;453179;453179;454071;454784;454071;454071;454071;456243;456243;456243;456243;459026;459026;457826;459026;459026	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5070	0	1	1	2	0	2
FBgn0037261	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	463732;463732;463732;464266;464266;464740;464740;464740;465356;465356;465735;465735;466738;467051;467051	464131;464131;464561;464561;464561;465279;466058;465279;465474;465474;466058;466058;466757;467317;467317	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2436	396	421	363	363	471	433
FBgn0037263	3R;3R	467696;469266	467730;470358	+;+	1128	1	5	1	2	5	4
FBgn0037262	3R;3R;3R;3R;3R;3R;3R	467696;467696;468006;468291;468291;468473;468473	468150;467730;468150;468380;468380;469014;469014	+;+;+;+;+;+;+	1087	166	177	184	144	181	175
FBgn0040466	3R;3R	470371;470903	470798;471316	-;-	842	49	63	41	72	72	59
FBgn0022981	3R;3R;3R;3R	471653;472298;472468;473117	472052;472400;473042;474606	+;+;+;+	2568	0	0	0	0	2	1
FBgn0087013	3R;3R;3R;3R;3R	474945;476307;476521;477705;479174	475489;476456;477615;479058;480360	+;+;+;+;+	4331	2409	2806	2379	2168	2650	2475
FBgn0037265	3R;3R;3R;3R	480550;481240;482625;483303	480801;482377;482931;483707	+;+;+;+	2102	45	61	47	36	55	48
FBgn0051531	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	485305;485305;485323;485961;485961;496519;496519;496519;506501;506501;506501;522913;522913;522913;523771;523771;523771;525439;525439;525439;525893;525893;525893;526880;526880;526880	485615;485398;486121;486121;486121;496572;496572;496572;506559;506559;506559;523264;523264;523264;523977;523977;523977;525581;525581;525581;526049;526049;526049;530979;530979;530979	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5889	352	424	349	302	389	357
FBgn0053927	3R;3R;3R	515673;515893;516262	515834;516210;516330	-;-;-	549	0	0	1	0	0	0
FBgn0051534	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	531458;531868;531868;531868;532748;532748;532748;532748;534398;534398;534398;534398;534882;534882;534882;534882;535899;535899;535899;535899;536338;536338;536620;536620;536620;536620	531502;532087;532087;532087;533828;533828;533828;533828;534771;534771;534771;534771;535792;535792;535792;535792;536098;536074;536074;536098;536485;536442;537915;537915;537915;537915	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4275	214	252	212	196	260	210
FBgn0037270	3R	538861	539918	-	1058	1407	1547	1360	1084	1413	1277
FBgn0027570	3R;3R;3R;3R;3R;3R;3R;3R;3R	545519;545946;546187;546703;548496;548926;549237;549518;557268	545826;546132;546437;547112;548872;549102;549451;550023;557595	-;-;-;-;-;-;-;-;-	2759	9	10	7	6	7	8
FBgn0026620	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	560134;560134;560134;560134;560134;560134;560134;560134;560134;560134;561130;561130;561130;561130;561130;561130;561130;561130;561130;561130;561364;561364;561364;561364;561364;561364;561364;561364;561364;561364;562745;562745;562745;562745;562745;562745;562745;562745;562745;562745;562903;562903;562903;562903;562903;562903;562903;562903;562903;562903;563036;563036;563036;563036;563036;563036;563036;563036;563036;563036;563195;563195;563195;563195;563195;563195;563195;563195;563195;563195;565233;565233;565294;565294;567574;567574;567574;567574;567574;567574;570186;570186;570186;570186;570186;570186;571519;571519;571564;574513;574513;574513	561068;561068;561068;561068;561068;561068;561068;561068;561068;561068;561279;561279;561279;561279;561279;561279;561279;561279;561279;561279;561525;561525;561525;561525;561525;561525;561525;561525;561525;561525;562849;562849;562849;562849;562849;562849;562849;562849;562849;562849;562974;562974;562974;562974;562974;562974;562974;562974;562974;562974;563100;563100;563100;563100;563100;563097;563100;563100;563100;563100;563502;563460;563460;563502;563460;563502;563502;563502;563460;563460;565269;565269;565365;565365;569904;569904;569904;569904;569904;569904;570387;570387;570387;570387;570387;570387;572136;572136;572136;574777;574777;574777	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5322	941	1121	953	988	1285	1103
FBgn0051530	3R;3R;3R;3R;3R	576129;578519;578762;583265;598655	578312;578687;578916;584133;598807	-;-;-;-;-	3530	0	0	2	0	0	0
FBgn0037273	3R	593632	593967	-	336	0	0	0	0	0	0
FBgn0010750	3R;3R;3R	601323;601560;602586	601501;602526;603213	+;+;+	1774	274	295	266	202	253	238
FBgn0037275	3R;3R;3R	603219;604232;605341	604061;604841;606053	-;-;-	2166	3	1	1	4	5	8
FBgn0037276	3R;3R;3R;3R	606993;608009;609949;610155	607687;609817;610096;610433	-;-;-;-	2931	0	2	0	0	2	0
FBgn0260794	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	612767;614096;614403;614655;616598;617680;618940;621459;622211;625414;626935	614009;614297;614591;616490;617586;618784;620786;621545;623419;626400;627445	-;-;-;-;-;-;-;-;-;-;-	10205	1741	1925	1665	1605	2051	1851
FBgn0026417	3R;3R	634084;637705	634996;637783	-;-	992	40	52	39	107	103	88
FBgn0037279	3R;3R;3R;3R;3R;3R;3R;3R;3R	639058;639076;639241;639393;639393;639961;639961;641009;641009	639330;639101;639330;639698;639698;640495;640495;641751;641751	+;+;+;+;+;+;+;+;+	1857	278	314	294	333	379	347
FBgn0037280	3R;3R;3R;3R;3R	642056;642209;642418;642674;642965	642150;642357;642613;642911;643498	+;+;+;+;+	1212	0	1	0	0	1	0
FBgn0037282	3R;3R;3R	644020;645516;646055	645459;645632;647150	-;-;-	2653	196	255	207	197	247	246
FBgn0037283	3R	655689	656232	-	544	0	0	0	0	0	0
FBgn0037284	3R	656692	656985	-	294	0	0	0	0	0	0
FBgn0003002	3R;3R;3R	678535;693865;694175	679776;694034;695709	+;+;+	2947	0	0	0	0	0	0
FBgn0020280	3R;3R;3R	701727;702531;704199	702453;704147;704255	-;-;-	2401	0	0	0	0	0	0
FBgn0004913	3R;3R;3R;3R;3R;3R;3R;3R	732348;732348;732511;732511;733904;733970;734871;734871	732444;732444;733841;733841;734812;734812;735803;735803	+;+;+;+;+;+;+;+	3270	452	533	441	476	570	500
FBgn0051536	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	736278;736278;743119;743119;748314;748314;748669;748669;748956;748956;749254;749254;749476;749476;751268;751616;751798;766397;768024;770697	736811;736807;743853;743853;748546;748546;748890;748890;749199;749199;749414;749414;749550;749883;751374;751731;752053;767662;768510;771298	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5371	1002	1015	895	735	1005	876
FBgn0085335	3R;3R	752643;758452	758312;764363	+;+	11582	44	81	51	37	52	41
FBgn0004183	3R	773632	773886	-	255	0	0	0	1	3	2
FBgn0004436	3R;3R;3R;3R;3R;3R	774477;774477;776189;776189;776833;778175	776126;776126;776474;776474;776919;778406	-;-;-;-;-;-	2255	673	758	625	488	716	673
FBgn0037288	3R;3R;3R	779228;780058;780760	780000;780152;780974	-;-;-	1083	0	0	0	0	0	1
FBgn0250839	3R;3R;3R;3R;3R;3R;3R	782717;783012;783223;785359;785626;786616;787034	782945;783164;783356;785480;785744;786695;787070	-;-;-;-;-;-;-	874	0	0	1	2	1	0
FBgn0037290	3R;3R;3R;3R	791169;792851;793343;793820	791369;792960;793757;794226	+;+;+;+	1133	2	1	1	41	42	50
FBgn0037291	3R;3R	807721;808350	808115;809954	-;-	2000	0	0	0	1	1	0
FBgn0037292	3R;3R;3R;3R	812222;813973;814260;836675	812608;814180;814487;836753	-;-;-;-	902	0	0	0	0	0	0
FBgn0010313	3R	909343	912408	-	3066	8	7	6	15	14	21
FBgn0037293	3R	953810	955665	+	1856	187	199	193	197	234	204
